TV,radio,newspaper,sales
1,7.52601,0,18.1
2,0.0136,75,4
3,0.05789,12.5,6.07
4,0.05646,0,12.83
5,2.14918,0,19.58
6,0.22876,0,8.56
7,0.00906,90,2.97
8,0.03961,0,5.19
9,0.53412,20,3.97
10,0.08873,21,5.64
11,0.17446,0,10.59
12,0.1029,30,4.93
13,0.03932,0,3.41
14,0.85204,0,8.14
15,0.15445,25,5.13
16,0.06417,0,5.96
17,4.03841,0,18.1
18,14.3337,0,18.1
19,6.96215,0,18.1
20,0.19802,0,10.59
21,0.01432,100,1.32
22,0.03237,0,2.18
23,0.13587,0,10.59
24,0.03427,0,5.19
25,0.31533,0,6.2
26,0.19657,22,5.86
27,0.11747,12.5,7.87
28,0.13262,0,8.56
29,0.09378,12.5,7.87
30,0.21409,22,5.86
31,0.15086,0,27.74
32,1.83377,0,19.58
33,4.66883,0,18.1
34,0.06905,0,2.18
35,10.0623,0,18.1
36,0.17899,0,9.69
37,19.6091,0,18.1
38,5.82401,0,18.1
39,4.54192,0,18.1
40,1.19294,0,21.89
41,0.06047,0,2.46
42,0.24522,0,9.9
43,0.2909,0,21.89
44,0.17004,12.5,7.87
45,0.03502,80,4.95
46,0.14866,0,8.56
47,0.03466,35,6.06
48,4.22239,0,18.1
49,0.33045,0,6.2
50,0.04462,25,4.86
51,0.22927,0,6.91
52,0.01709,90,2.02
53,0.97617,0,21.89
54,0.09178,0,4.05
55,0.21124,12.5,7.87
56,0.84054,0,8.14
57,2.01019,0,19.58
58,4.75237,0,18.1
59,0.3692,0,9.9
60,13.0751,0,18.1
61,0.06151,0,5.19
62,0.06724,0,3.24
63,28.6558,0,18.1
64,2.77974,0,19.58
65,0.25387,0,6.91
66,0.28955,0,10.59
67,0.09252,30,4.93
68,0.19539,0,10.81
69,0.34006,0,21.89
70,0.19133,22,5.86
71,0.31827,0,9.9
72,1.13081,0,8.14
73,0.05644,40,6.41
74,0.06076,0,11.93
75,0.03537,34,6.09
76,0.02985,0,2.18
77,0.01381,80,0.46
78,10.233,0,18.1
79,0.03445,82.5,2.03
80,0.25199,0,10.59
81,0.12816,12.5,6.07
82,8.64476,0,18.1
83,12.2472,0,18.1
84,0.22969,0,10.59
85,0.51183,0,6.2
86,0.07244,60,1.69
87,0.62356,0,6.2
88,12.8023,0,18.1
89,8.79212,0,18.1
90,0.27957,0,9.69
91,0.1712,0,8.56
92,8.49213,0,18.1
93,7.36711,0,18.1
94,45.7461,0,18.1
95,13.3598,0,18.1
96,5.69175,0,18.1
97,0.01311,90,1.22
98,11.8123,0,18.1
99,0.21038,20,3.33
100,0.01778,95,1.47
101,15.288,0,18.1
102,0.57529,0,6.2
103,0.88125,0,21.89
104,0.09103,0,2.46
105,0.22438,0,9.69
106,0.04684,0,3.41
107,0.37578,0,10.59
108,0.08826,0,10.81
109,0.07151,0,4.49
110,0.01965,80,1.76
111,23.6482,0,18.1
112,0.19073,22,5.86
113,0.08447,0,4.05
114,0.0315,95,1.47
115,5.87205,0,18.1
116,0.03659,25,4.86
117,0.02763,75,2.95
118,0.15098,0,10.01
119,8.26725,0,18.1
120,0.15936,0,6.91
121,0.03359,75,2.95
122,0.04379,80,3.37
123,0.30347,0,7.38
124,14.3337,0,18.1
125,8.98296,0,18.1
126,6.53876,0,18.1
127,20.7162,0,18.1
128,0.06127,40,6.41
129,0.66351,20,3.97
130,0.14103,0,13.92
131,3.56868,0,18.1
132,15.1772,0,18.1
133,4.0974,0,19.58
134,0.33983,22,5.86
135,9.33889,0,18.1
136,0.10084,0,10.01
137,0.0456,0,13.89
138,0.05602,0,2.46
139,13.6781,0,18.1
140,0.04981,21,5.64
141,0.77299,0,8.14
142,0.20746,0,27.74
143,0.02875,28,15.04
144,0.65665,20,3.97
145,0.09849,0,25.65
146,6.44405,0,18.1
147,4.87141,0,18.1
148,0.08707,0,12.83
149,2.24236,0,19.58
150,0.03041,0,5.19
151,0.17142,0,6.91
152,0.03871,52.5,5.32
153,1.41385,0,19.58
154,0.09164,0,10.81
155,2.33099,0,19.58
156,0.23912,0,9.69
157,0.02729,0,7.07
158,7.40389,0,18.1
159,0.02543,55,3.78
160,18.4982,0,18.1
161,9.92485,0,18.1
162,0.00632,18,2.31
163,1.80028,0,19.58
164,9.91655,0,18.1
165,3.32105,0,19.58
166,0.04417,70,2.24
167,0.7857,20,3.97
168,0.0536,21,5.64
169,1.12658,0,19.58
170,73.5341,0,18.1
171,0.03584,80,3.37
172,0.07886,80,4.95
173,3.67367,0,18.1
174,0.1265,25,5.13
175,0.0459,52.5,5.32
176,0.13914,0,4.05
177,2.37934,0,19.58
178,0.13058,0,10.01
179,3.1636,0,18.1
180,0.05302,0,3.41
181,0.04113,25,4.86
182,7.05042,0,18.1
183,0.09604,40,6.41
184,0.0351,95,2.68
185,0.01501,90,1.21
186,7.02259,0,18.1
187,0.44178,0,6.2
188,13.5222,0,18.1
189,0.06162,0,4.39
190,9.96654,0,18.1
191,0.06263,0,11.93
192,11.1081,0,18.1
193,0.08664,45,3.44
194,9.82349,0,18.1
195,0.7842,0,8.14
196,0.19186,0,7.38
197,0.15038,0,25.65
198,8.71675,0,18.1
199,0.10959,0,11.93
200,5.20177,0,18.1
201,15.5757,0,18.1
202,25.9406,0,18.1
203,22.5971,0,18.1
204,0.03113,0,4.39
205,0.04301,80,1.91
206,14.0507,0,18.1
207,0.06888,0,2.46
208,3.67822,0,18.1
209,0.16902,0,25.65
210,5.66998,0,18.1
211,0.03548,80,3.64
212,0.10574,0,27.74
213,2.3004,0,19.58
214,14.2362,0,18.1
215,0.03049,55,3.78
216,5.82115,0,18.1
217,0.35809,0,6.2
218,0.1396,0,8.56
219,0.32264,0,21.89
220,0.10793,0,8.56
221,0.05059,0,4.49
222,0.13554,12.5,6.07
223,0.05479,33,2.18
224,4.89822,0,18.1
225,1.62864,0,21.89
226,0.04011,80,1.52
227,0.35114,0,7.38
228,0.26838,0,9.69
229,0.38735,0,25.65
230,9.39063,0,18.1
231,0.17134,0,10.01
232,10.8342,0,18.1
233,7.83932,0,18.1
234,0.04297,52.5,5.32
235,0.52058,0,6.2
236,0.46296,0,6.2
237,3.83684,0,18.1
238,0.2896,0,9.69
239,0.04819,80,3.64
240,0.03306,0,5.19
241,0.05425,0,4.05
242,0.22188,20,6.96
243,0.12204,0,2.89
244,1.46336,0,19.58
245,1.15172,0,8.14
246,4.26131,0,18.1
247,0.12579,45,3.44
248,15.8603,0,18.1
249,0.04544,0,3.24
250,0.03705,20,3.33
251,0.07978,40,6.41
252,0.38214,0,6.2
253,3.47428,0,18.1
254,0.52014,20,3.97
255,0.08014,0,5.96
256,0.22489,12.5,7.87
257,8.15174,0,18.1
258,0.04527,0,11.93
259,88.9762,0,18.1
260,2.63548,0,9.9
261,0.07022,0,4.05
262,0.44791,0,6.2
263,0.18159,0,7.38
264,6.39312,0,18.1
265,0.43571,0,10.59
266,0.21977,0,6.91
267,0.26938,0,9.9
268,0.14052,0,10.59
269,0.18836,0,6.91
270,0.06588,0,2.46
271,0.11069,0,13.89
272,0.01301,35,1.52
273,0.06911,45,3.44
274,0.15876,0,10.81
275,0.07896,0,12.83
276,1.27346,0,19.58
277,1.34284,0,19.58
278,0.7258,0,8.14
279,9.18702,0,18.1
280,25.0461,0,18.1
281,15.8744,0,18.1
282,51.1358,0,18.1
283,3.53501,0,19.58
284,0.2498,0,21.89
285,0.09512,0,12.83
286,0.32543,0,21.89
287,18.811,0,18.1
288,13.9134,0,18.1
289,0.21161,0,8.56
290,0.28392,0,7.38
291,0.82526,20,3.97
292,0.14932,25,5.13
293,0.06899,0,25.65
294,0.11329,30,4.93
295,0.02177,82.5,2.03
296,2.36862,0,19.58
297,0.13117,0,8.56
298,9.32909,0,18.1
299,0.54452,0,21.89
300,2.44668,0,19.58
301,0.3494,0,9.9
302,1.25179,0,8.14
303,1.23247,0,8.14
304,0.06642,0,4.05
305,0.36894,22,5.86
306,11.9511,0,18.1
307,0.40202,0,9.9
308,0.01951,17.5,1.38
309,5.29305,0,18.1
310,7.75223,0,18.1
311,0.05561,70,2.24
312,11.1604,0,18.1
313,0.80271,0,8.14
314,0.14476,0,10.01
315,0.0566,0,3.41
316,0.09065,20,6.96
317,0.62976,0,8.14
318,14.4383,0,18.1
319,8.05579,0,18.1
320,0.05515,33,2.18
321,0.40771,0,6.2
322,15.0234,0,18.1
323,2.37857,0,18.1
324,5.44114,0,18.1
325,16.8118,0,18.1
326,0.07013,0,13.89
327,0.10008,0,2.46
328,0.03551,25,4.86
329,0.0837,45,3.44
330,0.22212,0,10.01
331,0.55778,0,21.89
332,0.54011,20,3.97
333,1.42502,0,19.58
334,0.05497,0,5.19
335,67.9208,0,18.1
336,4.34879,0,18.1
337,0.04294,28,15.04
338,0.01096,55,2.25
339,1.49632,0,19.58
340,6.65492,0,18.1
341,41.5292,0,18.1
342,0.06664,0,4.05
343,0.11027,25,5.13
344,0.08199,0,13.92
345,0.25356,0,9.9
346,0.02731,0,7.07
347,4.81213,0,18.1
348,0.11425,0,13.89
349,0.02009,95,2.68
350,0.1415,0,6.91
351,4.83567,0,18.1
352,1.6566,0,19.58
353,0.03615,80,4.95
354,14.4208,0,18.1
355,0.32982,0,21.89
356,0.17331,0,9.69
357,0.03738,0,5.19
358,0.02055,85,0.74
359,0.0795,60,1.69
360,4.64689,0,18.1
361,4.55587,0,18.1
362,2.44953,0,19.58
363,0.07503,33,2.18
364,0.25915,0,21.89
365,8.24809,0,18.1
366,11.5779,0,18.1
367,7.67202,0,18.1
368,0.11504,0,2.89
369,0.41238,0,6.2
370,6.28807,0,18.1
371,0.17783,0,9.69
372,0.09299,0,25.65
373,6.71772,0,18.1
374,22.0511,0,18.1
375,0.47547,0,9.9
376,0.09266,34,6.09
377,4.42228,0,18.1
378,0.12744,0,6.91
379,38.3518,0,18.1
380,0.49298,0,9.9
381,0.17505,0,5.96
382,5.70818,0,18.1
383,0.10659,80,1.91
384,0.02187,60,2.93
385,0.0187,85,4.15
386,0.12329,0,10.01
387,1.51902,0,19.58
388,2.15505,0,19.58
389,17.8667,0,18.1
390,0.13158,0,10.01
391,0.08308,0,2.46
392,0.98843,0,8.14
393,0.79041,0,9.9
394,2.81838,0,18.1
395,0.04337,21,5.64
396,0.63796,0,8.14
397,0.1676,0,7.38
398,5.66637,0,18.1
399,1.38799,0,8.14
400,6.80117,0,18.1
401,0.16439,22,5.86
402,0.04741,0,11.93
403,0.75026,0,8.14
404,0.06211,40,1.25
405,0.01538,90,3.75
406,0.06466,70,2.24
